customer_id,Y
374679,1
469678,1
216140,0
184301,0
148720,1
145576,1
194322,1
198210,0
305477,1
257384,0
186111,1
261947,0
180911,1
462434,1
407517,0
136119,0
472362,0
161908,1
241948,1
134147,0
316704,0
499943,1
142337,1
493094,0
492642,1
469857,1
479059,1
301839,0
450986,0
425068,0
315497,1
281738,0
397994,1
277082,0
453911,1
213836,0
473313,0
344266,0
403801,1
346783,0
179307,0
156047,0
413110,0
274259,0
253175,0
172026,1
462672,1
129414,0
403937,1
296129,1
234253,0
258223,1
156393,0
343448,1
450606,1
356603,1
450038,0
128116,1
284342,1
477417,1
351619,1
201958,1
323463,1
403324,1
419123,1
366880,1
243990,0
371291,0
194680,0
325582,0
359350,1
412147,1
163167,1
273678,0
470744,0
188704,1
336496,0
466534,0
385934,1
275428,0
405984,1
213941,0
418105,1
223128,1
302341,1
161776,1
209386,1
436024,0
123705,0
306540,1
294851,0
145409,0
178771,0
366472,0
177173,0
254953,0
144978,1
241127,1
156384,1
360154,1
318248,0
153300,1
463347,1
187201,1
267223,1
165864,0
242954,1
205791,0
193424,1
469421,1
222399,1
242215,1
324127,1
241416,0
441212,1
367159,1
229214,1
430501,1
417899,0
287806,0
347124,0
187622,0
180173,1
339472,1
349311,1
425218,1
347677,1
430621,0
161089,0
413904,1
143019,1
441216,0
484309,1
190814,0
347369,1
268443,1
270941,0
230255,1
359925,1
229635,1
147894,0
212097,1
474074,0
360711,0
475282,0
346309,0
222303,0
207730,0
429913,1
200249,1
206295,0
348670,1
361512,1
160886,1
266902,0
184245,0
217115,0
367926,1
374898,1
264722,0
374532,1
410797,1
231473,1
422769,0
149469,0
431512,0
202422,0
362204,0
198951,1
416654,0
177880,1
286575,0
435210,1
448048,1
369230,0
219540,0
381406,1
251313,1
478514,0
184694,1
437046,0
172881,1
468892,0
475937,0
153295,1
213463,0
272859,1
177732,1
373045,0
457173,1
303731,0
133028,1
405853,0
410372,0
211832,1
384674,1
269437,1
299772,1
126440,1
353832,0
196277,1
411682,1
328720,0
146228,1
410063,0
313281,1
303144,0
216574,0
498863,0
495728,1
494743,0
451149,1
214023,1
409208,1
193049,0
363793,1
156447,1
198477,0
210189,1
145856,0
459799,1
149806,0
393846,0
327857,1
488058,1
196629,0
387707,1
268219,1
181000,0
374445,0
494006,0
315055,0
196054,0
309985,0
477354,0
261969,1
306271,1
206542,0
132591,1
223882,0
319737,1
405670,1
415262,0
313679,1
334724,0
350242,1
445067,0
199365,1
233615,1
320067,1
187535,0
263760,1
296901,1
145593,1
165425,1
474382,1
440865,0
422509,1
123567,1
443001,0
411057,1
165974,1
405452,1
440319,1
191093,0
230658,0
488382,1
376802,1
217066,0
220883,0
232627,0
460550,1
444906,1
154019,0
144592,1
130561,1
408273,1
412225,0
238228,0
181912,0
414427,1
292245,0
192053,1
331042,0
320859,1
427524,0
478247,1
451502,1
322626,1
247261,1
215821,0
240727,1
222060,1
205926,1
334874,0
393285,1
228302,1
441541,1
486360,0
453866,1
486772,1
220434,1
384100,0
338752,0
404712,1
432459,1
286180,0
136356,1
218310,0
188457,1
426888,1
281596,1
490107,1
409218,1
179234,0
361935,1
203305,1
213575,1
185409,0
145817,0
392047,0
451531,1
257122,1
349524,0
199355,0
382365,0
463356,1
355083,1
310890,0
338910,1
202500,1
170273,1
270113,1
455827,0
329263,1
431622,1
273818,1
407868,1
341094,1
151738,0
169037,1
296508,0
430157,0
316931,0
468960,0
314024,1
362018,0
347401,0
383572,0
489508,1
353622,0
250172,0
188192,0
183307,0
203114,0
325120,0
235420,0
335035,0
317087,1
233471,0
208219,0
185440,1
327231,0
225378,1
325900,1
271962,1
136834,1
498174,1
490679,0
472929,0
305812,1
248998,1
446477,0
410834,1
490170,1
251202,1
465943,1
211358,1
262322,0
160272,0
258274,1
453790,1
284456,1
176869,0
414563,0
233717,1
135949,1
297572,1
374432,1
166688,1
142947,1
498877,1
396207,1
217467,0
175839,1
351769,1
165239,1
298584,1
271343,1
268629,1
351845,0
492939,1
305706,0
274116,1
404763,1
254068,0
157853,1
466417,0
194523,1
455657,1
440021,1
463377,1
218700,0
362528,0
381832,0
416884,1
399863,1
243217,1
311791,0
